hitter_name,team,plate_appearances,games,composite_score,grade,tier,ops,woba,wrc_plus,xwoba,xba,xslg,hard_hit_pct,barrel_pct,k_bb_ratio,avg,hr,rbi,sb,strengths,weaknesses,score_breakdown,rank
Nicholas Kurtz,ATH,392,94,91.1,A+,Elite,1.033,0.432,178,0.387,0.263,0.55,51.1,17.2,2.21,0.308,27,70,2,OPS: 1.033; wOBA: 0.432; wRC+: 178,None identified,"{'OPS': {'value': 1.033, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.432, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 178, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.387, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.263, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.55, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 51.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 17.2, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.21, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",11
Kyle Stowers,MIA,457,117,91.1,A+,Elite,0.912,0.386,148,0.387,0.278,0.553,52.0,19.0,2.61,0.288,25,73,5,OPS: 0.912; wOBA: 0.386; wRC+: 148,None identified,"{'OPS': {'value': 0.912, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.386, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 148, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.387, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.278, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.553, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 52.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 19.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.61, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",12
Jonathan Aranda,TBR,409,103,90.3,A+,Elite,0.871,0.377,142,0.391,0.301,0.524,53.7,12.4,2.54,0.316,12,54,0,OPS: 0.871; wOBA: 0.377; wRC+: 142,None identified,"{'OPS': {'value': 0.871, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.377, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 142, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.391, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.301, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.524, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 53.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 12.4, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.54, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",13
Rafael Devers,- - -,622,139,90.2,A+,Elite,0.873,0.374,140,0.385,0.263,0.511,56.7,15.8,1.67,0.264,29,94,1,OPS: 0.873; wOBA: 0.374; wRC+: 140,None identified,"{'OPS': {'value': 0.873, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.374, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 140, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.385, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.263, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.511, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 56.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 15.8, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.67, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",14
Bryce Harper,PHI,484,110,89.5,A,Elite,0.862,0.367,135,0.381,0.282,0.521,48.1,12.7,1.8,0.269,23,64,11,OPS: 0.862; wOBA: 0.367; wRC+: 135,None identified,"{'OPS': {'value': 0.862, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.367, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 135, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.381, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.282, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.521, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 48.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 12.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.8, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",15
Corey Seager,TEX,445,102,89.5,A,Elite,0.86,0.366,137,0.413,0.298,0.591,53.6,15.3,1.51,0.271,21,50,3,OPS: 0.86; wOBA: 0.366; wRC+: 137,None identified,"{'OPS': {'value': 0.86, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.366, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 137, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.413, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.298, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.591, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 53.6, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 15.3, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.51, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",16
Ramon Laureano,- - -,407,111,88.9,A,Elite,0.895,0.38,147,0.377,0.285,0.538,49.5,13.900000000000002,3.49,0.293,22,70,5,OPS: 0.895; wOBA: 0.38; wRC+: 147,K:BB: 3.49,"{'OPS': {'value': 0.895, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.38, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 147, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.377, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.285, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.538, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 49.5, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 13.900000000000002, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 3.49, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",17
Roman Anthony,BOS,300,70,88.8,A,Elite,0.861,0.378,139,0.383,0.268,0.5,59.9,15.7,2.08,0.291,8,31,4,OPS: 0.861; wOBA: 0.378; wRC+: 139,None identified,"{'OPS': {'value': 0.861, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.378, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 139, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.383, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.268, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.5, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 59.9, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 15.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.08, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",18
Cal Raleigh,SEA,594,135,88.5,A,Elite,0.932,0.387,156,0.372,0.234,0.545,49.4,18.5,1.98,0.243,50,107,14,OPS: 0.932; wOBA: 0.387; wRC+: 156,xBA: 0.234,"{'OPS': {'value': 0.932, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.387, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 156, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.372, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.234, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.545, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 49.4, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 18.5, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.98, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",19
Drake Baldwin,ATL,353,101,88.3,A,Elite,0.821,0.358,130,0.37,0.289,0.497,49.6,10.7,1.68,0.284,15,62,0,OPS: 0.821; wOBA: 0.358; wRC+: 130,None identified,"{'OPS': {'value': 0.821, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.358, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 130, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.37, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.289, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.497, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 49.6, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 10.7, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 1.68, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",20
Kyle Tucker,CHC,582,132,88.1,A,Elite,0.845,0.365,137,0.384,0.284,0.502,40.6,10.1,1.0,0.267,21,70,25,OPS: 0.845; wOBA: 0.365; wRC+: 137,None identified,"{'OPS': {'value': 0.845, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.365, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 137, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.384, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.284, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.502, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 40.6, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 10.1, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 1.0, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",21
Pete Alonso,NYM,604,138,88.1,A,Elite,0.856,0.364,138,0.401,0.289,0.589,54.29999999999999,19.1,2.42,0.267,31,110,1,OPS: 0.856; wOBA: 0.364; wRC+: 138,None identified,"{'OPS': {'value': 0.856, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.364, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 138, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.401, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.289, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.589, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 54.29999999999999, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 19.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.42, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",22
Corbin Carroll,ARI,548,122,87.4,A,Elite,0.888,0.373,140,0.381,0.272,0.556,50.7,15.4,2.76,0.258,29,71,23,OPS: 0.888; wOBA: 0.373; wRC+: 140,K:BB: 2.76,"{'OPS': {'value': 0.888, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.373, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 140, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.381, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.272, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.556, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 50.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 15.4, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.76, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",23
Freddie Freeman,LAD,522,123,87.3,A,Elite,0.874,0.373,141,0.366,0.283,0.487,45.6,10.4,2.11,0.3,18,76,4,OPS: 0.874; wOBA: 0.373; wRC+: 141,None identified,"{'OPS': {'value': 0.874, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.373, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 141, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.366, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.283, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.487, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 45.6, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 10.4, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.11, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",24
