Name,xwOBA,xBA,xSLG,matched_name
Kirby Yates,,,,Kirby Yates
Ryne Stanek,,,,Ryne Stanek
Marcus Stroman,,,,Marcus Stroman
Dylan Lee,,,,Dylan Lee
Tyler Anderson,0.371,0.301,0.558,Tyler Anderson
Jonathan Bowlan,,,,Jonathan Bowlan
Rafael Montero,,,,Rafael Montero
Carlos Hernandez,,,,Carlos Hernandez
Lyon Richardson,,,,Lyon Richardson
Juan Morillo,,,,Juan Morillo
Paul Blackburn,,,,Paul Blackburn
Logan Evans,,,,Logan Evans
Anthony Banda,,,,Anthony Banda
Daysbel Hernandez,,,,Daysbel Hernandez
Tim Hill,,,,Tim Hill
Michael Kelly,,,,Michael Kelly
Hayden Birdsong,,,,Hayden Birdsong
Mason Fluharty,,,,Mason Fluharty
Bryce Miller,,,,Bryce Miller
Kody Funderburk,,,,Kody Funderburk
Frankie Montas,,,,Frankie Montas
Ryan Thompson,,,,Ryan Thompson
Ian Hamilton,,,,Ian Hamilton
Mitch Spence,,,,Mitch Spence
Yennier Cano,,,,Yennier Cano
Chase Dollander,,,,Chase Dollander
Brent Suter,,,,Brent Suter
Ryan Borucki,,,,Ryan Borucki
Tristan Beck,,,,Tristan Beck
Joe Boyle,,,,Joe Boyle
Brandon Young,,,,Brandon Young
Daniel Lynch IV,,,,Daniel Lynch IV
Jacob Webb,,,,Jacob Webb
Keegan Akin,,,,Keegan Akin
Chase Shugart,,,,Chase Shugart
Chase Lee,,,,Chase Lee
Keider Montero,,,,Keider Montero
Erick Fedde,,,,Erick Fedde
Casey Legumina,,,,Casey Legumina
Lou Trivino,,,,Lou Trivino
Tony Gonsolin,,,,Tony Gonsolin
Connor Brogdon,,,,Connor Brogdon
Tyler Ferguson,,,,Tyler Ferguson
Tyler Phillips,,,,Tyler Phillips
Kaleb Ort,,,,Kaleb Ort
Joe Ross,,,,Joe Ross
Lance McCullers Jr.,,,,Lance McCullers Jr.
Elvis Alvarado,,,,Elvis Alvarado
Anthony DeSclafani,,,,Anthony DeSclafani
Max Lazar,,,,Max Lazar
Spencer Arrighetti,,,,Spencer Arrighetti
Brandon Waddell,,,,Brandon Waddell
Jose Urena,,,,Jose Urena
Jeff Hoffman,,,,Jeff Hoffman
Jake Irvin,,,,Jake Irvin
Zach Eflin,,,,Zach Eflin
Andrew Heaney,,,,Andrew Heaney
Antonio Senzatela,,,,Antonio Senzatela
Yuki Matsui,,,,Yuki Matsui
Shawn Dubin,,,,Shawn Dubin
Sam Long,,,,Sam Long
Carlos Carrasco,,,,Carlos Carrasco
Cole Henry,,,,Cole Henry
Roki Sasaki,,,,Roki Sasaki
Seth Halvorsen,,,,Seth Halvorsen
Chris Flexen,,,,Chris Flexen
Landon Knack,,,,Landon Knack
Emerson Hancock,,,,Emerson Hancock
Kyle Hart,,,,Kyle Hart
Luke Jackson,,,,Luke Jackson
Trent Thornton,,,,Trent Thornton
Richard Fitts,0.349,0.283,0.518,Richard Fitts
Tanner Houck,,,,Tanner Houck
Ryan Zeferjahn,,,,Ryan Zeferjahn
Carlos Vargas,,,,Carlos Vargas
Scott Blewett,,,,Scott Blewett
Jackson Rutledge,,,,Jackson Rutledge
Ryan Pressly,,,,Ryan Pressly
John King,,,,John King
Jordan Romano,,,,Jordan Romano
Tommy Kahnle,,,,Tommy Kahnle
Gunnar Hoglund,,,,Gunnar Hoglund
Angel Chivilli,,,,Angel Chivilli
Bradley Blalock,,,,Bradley Blalock
Jorge Alcala,,,,Jorge Alcala
Austin Gomber,,,,Austin Gomber
Tyler Holton,,,,Tyler Holton
Tim Herrin,,,,Tim Herrin
Osvaldo Bido,,,,Osvaldo Bido
Alek Jacob,,,,Alek Jacob
Bryse Wilson,,,,Bryse Wilson
Walker Buehler,,,,Walker Buehler
Jack Kochanowicz,,,,Jack Kochanowicz
Ryan Rolison,,,,Ryan Rolison
Carson Palmquist,,,,Carson Palmquist
Genesis Cabrera,,,,Genesis Cabrera
Bowden Francis,,,,Bowden Francis
Chad Green,,,,Chad Green
Nestor Cortes,,,,Nestor Cortes
